timestamp_sec,person_lat,person_lon,drone_lat,drone_lon,error_meters
1771590356.561897516,28.753556014,77.115647702,28.753558600,77.115652000,0.5082
1771590356.628644228,28.753557945,77.115649020,28.753556700,77.115651900,0.3130
1771590356.728764534,28.753558740,77.115649829,28.753556700,77.115651900,0.3037
1771590356.762137890,28.753559025,77.115650141,28.753556700,77.115651900,0.3102
1771590356.795511484,28.753558944,77.115650316,28.753556700,77.115651900,0.2934
1771590356.962379456,28.753557173,77.115650150,28.753556700,77.115652000,0.1879
1771590357.029126167,28.753557232,77.115649663,28.753556700,77.115652000,0.2354
1771590357.095873117,28.753558284,77.115648581,28.753556700,77.115652300,0.4031
1771590357.396233559,28.753560200,77.115645573,28.753556900,77.115652800,0.7943
1771590357.462980270,28.753560721,77.115646161,28.753556900,77.115652800,0.7742
1771590357.729968548,28.753560410,77.115648986,28.753556900,77.115653400,0.5810
1771590357.763341904,28.753560683,77.115648755,28.753556900,77.115653400,0.6181
1771590357.863462210,28.753559248,77.115646367,28.753557000,77.115653500,0.7389
1771590358.030328989,28.753557298,77.115646042,28.753557000,77.115653500,0.7278
1771590358.097075701,28.753558403,77.115646998,28.753556900,77.115653100,0.6179
1771590358.263942719,28.753557047,77.115646884,28.753556900,77.115653100,0.6062
1771590358.464184284,28.753559252,77.115647063,28.753556900,77.115652600,0.5998
1771590358.530931234,28.753559783,77.115646672,28.753556900,77.115652600,0.6608
1771590358.564304352,28.753559236,77.115644262,28.753557100,77.115652400,0.8281
1771590358.631051302,28.753559213,77.115643966,28.753557100,77.115652400,0.8550
1771590358.664424896,28.753559454,77.115643917,28.753557100,77.115652400,0.8674
1771590359.932615519,28.753555069,77.115642004,28.753557100,77.115652400,1.0383
1771590359.965988874,28.753555158,77.115641329,28.753557100,77.115652400,1.1006
1771590359.999361992,28.753555161,77.115640733,28.753557100,77.115652400,1.1576
1771590360.032735348,28.753555191,77.115640448,28.753557100,77.115652400,1.1843
1771590360.066108942,28.753554849,77.115640171,28.753557100,77.115652400,1.2181
1771590360.099482059,28.753549850,77.115629971,28.753552600,77.115646200,1.6113
1771590360.132855415,28.753549443,77.115629807,28.753552600,77.115646200,1.6362
1771590360.166228771,28.753549275,77.115629950,28.753552600,77.115646200,1.6267
1771590360.199602127,28.753549046,77.115629933,28.753552600,77.115646200,1.6343
1771590360.232975483,28.753548932,77.115630100,28.753552600,77.115646200,1.6217
1771590360.266348839,28.753547989,77.115630064,28.753552600,77.115646200,1.6544
1771590360.299722195,28.753547350,77.115630222,28.753552600,77.115646200,1.6634
1771590360.333095551,28.753544794,77.115629328,28.753550700,77.115644500,1.6183
1771590360.366468906,28.753544168,77.115629428,28.753550700,77.115644500,1.6391
1771590360.399842262,28.753543073,77.115629746,28.753550700,77.115644500,1.6697
1771590360.433216810,28.753542404,77.115629996,28.753550700,77.115644500,1.6882
1771590360.466590166,28.753541300,77.115630058,28.753550700,77.115644500,1.7534
1771590360.499963284,28.753540912,77.115630309,28.753550700,77.115644500,1.7602
